,Warehouse_Block,Shipment_Mode,Customer_Calls,Calls_Intensity,Customer_Rating,Rating_Satisfaction,Product_Cost,Cost_Segment,Prior_Purchases,Customer_Segment,Product_Importance,Gender,Product_Discount,Discount_Segment,Product_Weight,Weight_Segment,Delivery_Status
0,D,Flight,4,Moderate,2,Low Rating - Dissatisfied,177,Standard,3,New,Low,Female,44,40-52(%),1233,Light,Not On Time
1,E,Flight,4,Moderate,5,High Rating - Satisfied,216,Standard,2,New,Low,Male,59,53-65(%),3088,Medium,Not On Time
2,A,Flight,2,Few,2,Low Rating - Dissatisfied,183,Standard,4,Regular,Low,Male,48,40-52(%),3374,Medium,Not On Time
3,B,Flight,3,Few,3,Low Rating - Dissatisfied,176,Standard,4,Regular,Medium,Male,10,1-13(%),1177,Light,Not On Time
4,C,Flight,2,Few,2,Low Rating - Dissatisfied,184,Standard,3,New,Medium,Female,46,40-52(%),2484,Medium,Not On Time
5,E,Flight,3,Few,1,Low Rating - Dissatisfied,162,Cheap,3,New,Medium,Female,12,1-13(%),1417,Light,Not On Time
6,D,Flight,3,Few,4,High Rating - Satisfied,250,Standard,3,New,Low,Female,3,1-13(%),2371,Medium,Not On Time
7,E,Flight,4,Moderate,1,Low Rating - Dissatisfied,233,Standard,2,New,Low,Female,48,40-52(%),2804,Medium,Not On Time
8,A,Flight,3,Few,4,High Rating - Satisfied,150,Cheap,3,New,Low,Female,11,1-13(%),1861,Medium,Not On Time
9,B,Flight,3,Few,2,Low Rating - Dissatisfied,164,Cheap,3,New,Medium,Female,29,27-39(%),1187,Light,Not On Time
10,C,Flight,3,Few,4,High Rating - Satisfied,189,Standard,2,New,Medium,Male,12,1-13(%),2888,Medium,Not On Time
11,E,Flight,4,Moderate,5,High Rating - Satisfied,232,Standard,3,New,Medium,Female,32,27-39(%),3253,Medium,Not On Time
12,D,Flight,3,Few,5,High Rating - Satisfied,198,Standard,3,New,Medium,Female,1,1-13(%),3667,Medium,Not On Time
13,E,Flight,4,Moderate,4,High Rating - Satisfied,275,Expensive,3,New,High,Male,29,27-39(%),2602,Medium,Not On Time
14,A,Flight,4,Moderate,3,Low Rating - Dissatisfied,152,Cheap,3,New,Low,Male,43,40-52(%),1009,Light,Not On Time
15,B,Flight,4,Moderate,3,Low Rating - Dissatisfied,227,Standard,3,New,Low,Female,45,40-52(%),2707,Medium,Not On Time
16,C,Flight,3,Few,4,High Rating - Satisfied,143,Cheap,2,New,Medium,Female,6,1-13(%),1194,Light,Not On Time
17,E,Ship,5,Moderate,5,High Rating - Satisfied,227,Standard,3,New,Medium,Male,36,27-39(%),3952,Medium,Not On Time
18,D,Ship,5,Moderate,5,High Rating - Satisfied,239,Standard,3,New,High,Male,18,14-26(%),2495,Medium,Not On Time
19,E,Ship,4,Moderate,5,High Rating - Satisfied,145,Cheap,3,New,Medium,Male,45,40-52(%),1059,Light,Not On Time
20,A,Ship,3,Few,3,Low Rating - Dissatisfied,161,Cheap,2,New,Medium,Female,38,27-39(%),1521,Light,Not On Time
21,B,Ship,3,Few,1,Low Rating - Dissatisfied,232,Standard,4,Regular,Medium,Female,51,40-52(%),2899,Medium,Not On Time
22,C,Ship,2,Few,5,High Rating - Satisfied,156,Cheap,2,New,Low,Male,2,1-13(%),1750,Light,Not On Time
23,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,211,Standard,3,New,High,Male,12,1-13(%),3922,Medium,Not On Time
24,D,Ship,4,Moderate,5,High Rating - Satisfied,251,Standard,2,New,Medium,Female,28,27-39(%),3561,Medium,Not On Time
25,E,Ship,3,Few,1,Low Rating - Dissatisfied,225,Standard,4,Regular,Low,Male,29,27-39(%),3496,Medium,Not On Time
26,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,172,Standard,3,New,High,Female,24,14-26(%),1066,Light,Not On Time
27,B,Ship,5,Moderate,1,Low Rating - Dissatisfied,162,Cheap,3,New,Medium,Male,31,27-39(%),1435,Light,Not On Time
28,C,Ship,2,Few,3,Low Rating - Dissatisfied,234,Standard,4,Regular,Low,Male,44,40-52(%),3134,Medium,Not On Time
29,E,Ship,5,Moderate,4,High Rating - Satisfied,183,Standard,2,New,Low,Female,36,27-39(%),3819,Medium,Not On Time
30,D,Ship,3,Few,4,High Rating - Satisfied,266,Expensive,2,New,Medium,Female,38,27-39(%),2741,Medium,Not On Time
31,E,Ship,5,Moderate,3,Low Rating - Dissatisfied,257,Expensive,2,New,Low,Female,61,53-65(%),3341,Medium,Not On Time
32,A,Ship,3,Few,1,Low Rating - Dissatisfied,223,Standard,3,New,Low,Female,22,14-26(%),3795,Medium,Not On Time
33,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,234,Standard,3,New,Medium,Male,4,1-13(%),3261,Medium,Not On Time
34,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,227,Standard,4,Regular,Medium,Female,22,14-26(%),2460,Medium,Not On Time
35,E,Ship,5,Moderate,4,High Rating - Satisfied,149,Cheap,3,New,Medium,Female,44,40-52(%),1811,Light,Not On Time
36,D,Ship,3,Few,5,High Rating - Satisfied,137,Cheap,4,Regular,High,Female,62,53-65(%),1477,Light,Not On Time
37,E,Ship,2,Few,4,High Rating - Satisfied,181,Standard,6,Regular,Medium,Female,16,14-26(%),3605,Medium,Not On Time
38,A,Ship,5,Moderate,1,Low Rating - Dissatisfied,215,Standard,4,Regular,Low,Female,56,53-65(%),3905,Medium,Not On Time
39,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,269,Expensive,5,Regular,Low,Female,45,40-52(%),2383,Medium,Not On Time
40,C,Ship,5,Moderate,1,Low Rating - Dissatisfied,227,Standard,2,New,Low,Male,15,14-26(%),3798,Medium,Not On Time
41,E,Ship,5,Moderate,5,High Rating - Satisfied,139,Cheap,4,Regular,Medium,Male,61,53-65(%),1265,Light,Not On Time
42,D,Ship,3,Few,5,High Rating - Satisfied,137,Cheap,2,New,Medium,Male,38,27-39(%),1647,Light,Not On Time
43,E,Ship,3,Few,1,Low Rating - Dissatisfied,174,Standard,2,New,Low,Male,44,40-52(%),1556,Light,Not On Time
44,A,Ship,3,Few,1,Low Rating - Dissatisfied,151,Cheap,2,New,Low,Male,29,27-39(%),1328,Light,Not On Time
45,B,Ship,5,Moderate,1,Low Rating - Dissatisfied,210,Standard,3,New,Low,Female,9,1-13(%),2944,Medium,Not On Time
46,C,Ship,3,Few,4,High Rating - Satisfied,169,Standard,4,Regular,Medium,Female,32,27-39(%),1245,Light,Not On Time
47,E,Ship,5,Moderate,1,Low Rating - Dissatisfied,160,Cheap,2,New,Low,Male,32,27-39(%),1576,Light,Not On Time
48,D,Ship,5,Moderate,4,High Rating - Satisfied,190,Standard,2,New,Medium,Male,9,1-13(%),3753,Medium,Not On Time
49,E,Ship,5,Moderate,3,Low Rating - Dissatisfied,216,Standard,3,New,Low,Female,40,40-52(%),2146,Medium,Not On Time
50,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,183,Standard,3,New,Low,Male,37,27-39(%),2042,Medium,Not On Time
51,B,Ship,4,Moderate,4,High Rating - Satisfied,141,Cheap,3,New,Low,Male,22,14-26(%),1735,Light,Not On Time
52,C,Ship,4,Moderate,3,Low Rating - Dissatisfied,165,Cheap,3,New,Low,Female,44,40-52(%),1320,Light,Not On Time
53,E,Ship,2,Few,1,Low Rating - Dissatisfied,170,Standard,3,New,Low,Male,41,40-52(%),1128,Light,Not On Time
54,D,Ship,4,Moderate,3,Low Rating - Dissatisfied,203,Standard,3,New,High,Male,12,1-13(%),3539,Medium,Not On Time
55,E,Ship,2,Few,5,High Rating - Satisfied,246,Standard,5,Regular,Low,Male,46,40-52(%),2437,Medium,Not On Time
56,A,Ship,3,Few,3,Low Rating - Dissatisfied,238,Standard,3,New,Low,Female,61,53-65(%),3096,Medium,Not On Time
57,B,Ship,3,Few,3,Low Rating - Dissatisfied,193,Standard,3,New,Medium,Female,29,27-39(%),3453,Medium,Not On Time
58,C,Ship,5,Moderate,5,High Rating - Satisfied,141,Cheap,3,New,High,Male,41,40-52(%),1367,Light,Not On Time
59,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,150,Cheap,3,New,High,Female,17,14-26(%),1923,Medium,Not On Time
60,D,Ship,3,Few,1,Low Rating - Dissatisfied,221,Standard,3,New,Low,Female,64,53-65(%),2794,Medium,Not On Time
61,E,Ship,3,Few,3,Low Rating - Dissatisfied,179,Standard,3,New,Medium,Male,52,40-52(%),1158,Light,Not On Time
62,A,Ship,5,Moderate,1,Low Rating - Dissatisfied,105,Cheap,6,Regular,Medium,Male,62,53-65(%),1292,Light,Not On Time
63,B,Ship,3,Few,1,Low Rating - Dissatisfied,177,Standard,3,New,Medium,Male,61,53-65(%),1880,Medium,Not On Time
